,xlocs,ylocs,shot_zone
219,-181.3725494,276.637931,zone19
220,-181.3725494,260.4310345,zone15
221,-181.3725494,244.2241379,zone15
222,-181.3725494,228.0172414,zone15
223,-181.3725494,211.8103448,zone13
224,-181.3725494,195.6034483,zone13
225,-181.3725494,179.3965517,zone13
226,-181.3725494,163.1896552,zone13
227,-181.3725494,146.9827586,zone6
228,-181.3725494,130.7758621,zone6
229,-181.3725494,114.5689655,zone6
230,-181.3725494,98.36206897,zone6
231,-181.3725494,82.15517241,zone6
232,-181.3725494,65.94827586,zone6
233,-181.3725494,49.74137931,zone6
234,-181.3725494,33.53448276,zone6
235,-181.3725494,17.32758621,zone6
236,-181.3725494,1.120689655,zone6
237,-181.3725494,-15.0862069,zone6
238,-181.3725494,-31.29310345,zone6
239,-181.3725494,-47.5,zone6
240,-171.5686278,422.5,zone19
241,-171.5686278,406.2931034,zone19
242,-171.5686278,390.0862069,zone19
243,-171.5686278,373.8793103,zone19
244,-171.5686278,357.6724138,zone19
245,-171.5686278,341.4655172,zone19
246,-171.5686278,325.2586207,zone19
247,-171.5686278,309.0517241,zone19
248,-171.5686278,292.8448276,zone19
249,-171.5686278,276.637931,zone19
250,-171.5686278,260.4310345,zone15
251,-171.5686278,244.2241379,zone15
252,-171.5686278,228.0172414,zone15
253,-171.5686278,211.8103448,zone13
254,-171.5686278,195.6034483,zone13
255,-171.5686278,179.3965517,zone13
256,-171.5686278,163.1896552,zone6
257,-171.5686278,146.9827586,zone6
258,-171.5686278,130.7758621,zone6
259,-171.5686278,114.5689655,zone6
260,-171.5686278,98.36206897,zone6
261,-171.5686278,82.15517241,zone6
262,-171.5686278,65.94827586,zone6
263,-171.5686278,49.74137931,zone6
264,-171.5686278,33.53448276,zone6
265,-171.5686278,17.32758621,zone6
266,-171.5686278,1.120689655,zone6
267,-171.5686278,-15.0862069,zone6
268,-171.5686278,-31.29310345,zone6
269,-171.5686278,-47.5,zone6
270,-161.7647062,422.5,zone19
271,-161.7647062,406.2931034,zone19
272,-161.7647062,390.0862069,zone19
273,-161.7647062,373.8793103,zone19
274,-161.7647062,357.6724138,zone19
275,-161.7647062,341.4655172,zone19
276,-161.7647062,325.2586207,zone19
277,-161.7647062,309.0517241,zone19
278,-161.7647062,292.8448276,zone19
279,-161.7647062,276.637931,zone19
280,-161.7647062,260.4310345,zone15
281,-161.7647062,244.2241379,zone15
282,-161.7647062,228.0172414,zone13
283,-161.7647062,211.8103448,zone13
284,-161.7647062,195.6034483,zone13
285,-161.7647062,179.3965517,zone13
286,-161.7647062,163.1896552,zone6
287,-161.7647062,146.9827586,zone6
288,-161.7647062,130.7758621,zone6
289,-161.7647062,114.5689655,zone6
290,-161.7647062,98.36206897,zone6
291,-161.7647062,82.15517241,zone6
292,-161.7647062,65.94827586,zone6
293,-161.7647062,49.74137931,zone8
294,-161.7647062,33.53448276,zone8
295,-161.7647062,17.32758621,zone8
296,-161.7647062,1.120689655,zone8
297,-161.7647062,-15.0862069,zone8
298,-161.7647062,-31.29310345,zone8
299,-161.7647062,-47.5,zone8
300,-151.9607846,422.5,zone19
301,-151.9607846,406.2931034,zone19
302,-151.9607846,390.0862069,zone19
303,-151.9607846,373.8793103,zone19
304,-151.9607846,357.6724138,zone19
305,-151.9607846,341.4655172,zone19
306,-151.9607846,325.2586207,zone19
307,-151.9607846,309.0517241,zone19
308,-151.9607846,292.8448276,zone19
309,-151.9607846,276.637931,zone18
310,-151.9607846,260.4310345,zone15
311,-151.9607846,244.2241379,zone15
312,-151.9607846,228.0172414,zone13
313,-151.9607846,211.8103448,zone13
314,-151.9607846,195.6034483,zone13
315,-151.9607846,179.3965517,zone6
316,-151.9607846,163.1896552,zone6
317,-151.9607846,146.9827586,zone6
318,-151.9607846,130.7758621,zone6
319,-151.9607846,114.5689655,zone6
320,-151.9607846,98.36206897,zone6
321,-151.9607846,82.15517241,zone6
322,-151.9607846,65.94827586,zone8
323,-151.9607846,49.74137931,zone8
324,-151.9607846,33.53448276,zone8
325,-151.9607846,17.32758621,zone8
326,-151.9607846,1.120689655,zone8
327,-151.9607846,-15.0862069,zone8
328,-151.9607846,-31.29310345,zone8
329,-151.9607846,-47.5,zone8
330,-142.156863,422.5,zone19
331,-142.156863,406.2931034,zone19
332,-142.156863,390.0862069,zone19
333,-142.156863,373.8793103,zone19
334,-142.156863,357.6724138,zone19
335,-142.156863,341.4655172,zone19
336,-142.156863,325.2586207,zone19
337,-142.156863,309.0517241,zone19
338,-142.156863,292.8448276,zone19
339,-142.156863,276.637931,zone18
340,-142.156863,260.4310345,zone18
341,-142.156863,244.2241379,zone15
342,-142.156863,228.0172414,zone13
343,-142.156863,211.8103448,zone13
344,-142.156863,195.6034483,zone13
345,-142.156863,179.3965517,zone6
346,-142.156863,163.1896552,zone6
347,-142.156863,146.9827586,zone6
348,-142.156863,130.7758621,zone6
349,-142.156863,114.5689655,zone6
350,-142.156863,98.36206897,zone6
351,-142.156863,82.15517241,zone8
352,-142.156863,65.94827586,zone8
353,-142.156863,49.74137931,zone8
354,-142.156863,33.53448276,zone8
355,-142.156863,17.32758621,zone8
356,-142.156863,1.120689655,zone8
357,-142.156863,-15.0862069,zone8
358,-142.156863,-31.29310345,zone8
359,-142.156863,-47.5,zone8
360,-132.3529414,422.5,zone19
361,-132.3529414,406.2931034,zone19
362,-132.3529414,390.0862069,zone19
363,-132.3529414,373.8793103,zone19
364,-132.3529414,357.6724138,zone19
365,-132.3529414,341.4655172,zone19
366,-132.3529414,325.2586207,zone19
367,-132.3529414,309.0517241,zone19
368,-132.3529414,292.8448276,zone19
369,-132.3529414,276.637931,zone18
370,-132.3529414,260.4310345,zone18
371,-132.3529414,244.2241379,zone17
372,-132.3529414,228.0172414,zone13
373,-132.3529414,211.8103448,zone13
374,-132.3529414,195.6034483,zone6
375,-132.3529414,179.3965517,zone6
376,-132.3529414,163.1896552,zone6
377,-132.3529414,146.9827586,zone6
378,-132.3529414,130.7758621,zone6
379,-132.3529414,114.5689655,zone6
380,-132.3529414,98.36206897,zone8
381,-132.3529414,82.15517241,zone8
